Category,Number (ID),Spicy,English,Chinese,Price,Limited Availability
Appetizer,1,0,Egg Roll (1pc),蛋卷 (1),2.25,0
Appetizer,2,0,Spring Roll (4pc),春卷 (4),3.95,0
Appetizer,3,0,Sesame Shrimp Roll (2pc),芝麻虾卷 (2),4.95,0
Appetizer,4,0,Steamed Pork Dumplings (6pc),肉饺子 (6),6.25,0
Appetizer,5,0,Pan Fried Pork Dumplings (6pc),锅贴 (6),6.25,0
Appetizer,6,0,Steamed Vegetable Dumplings (6pc),菜饺子 (6),6.25,0
Appetizer,7,0,Steamed Chicken Dumplings (6pc),鸡饺子 (6),6.25,0
Appetizer,8,1,Chicken Dumplings in Hot Sauce (6pc),饺辣鸡子 (6),6.25,0
Appetizer,9,0,Fried Chicken Wings (8pc),炸鸡翅 (8),6.25,0
Appetizer,10,1,Hot Spicy Chicken Wings (8pc),辣鸡翅 (8),6.25,0
Appetizer,11,0,Chicken Skew (4pc),鸡串 (4),6.25,0
Appetizer,12,0,Crab Rangoon (6pc),蟹饺 (6),4.95,0
Appetizer,13,0,Minced Chicken in Lettuce Wrap,n/a,9.00,0
Appetizer,14,0,Minced Shrimp in Lettuce Wrap,n/a,9.45,0
Appetizer,15,0,Minced Chiken & Shrimp in Lettuce Wrap,n/a,9.45,0
Appetizer,15a,0,Wakame Salad,日本海带沙拉,5.55,0
Appetizer,15b,0,Edamame,毛豆,4.95,0
Appetizer,15d,1,Cold Noodle in Spicy Sauce,凉面,6.45,0
Appetizer,15e,0,Fried Squid,炸鱿鱼,6.45,0
Soup,16a,0,Wonton Soup (S),馄饨汤 (小),2.50,0
Soup,16b,0,Wonton Soup (L),馄饨汤 (大),5.00,0
Soup,17a,0,Egg Drop Soup (S),蛋花汤 (小）,2.50,0
Soup,17b,0,Egg Drop Soup (L),蛋花汤 (大）,5.00,0
Soup,18a,1,Hot & Sour Soup (S),酸辣汤 (小）,2.95,0
Soup,18b,1,Hot & Sour Soup (L),酸辣汤 (大）,5.50,0
Soup,19a,1,Seafood Soup (S),海鲜汤 (小）,5.95,0
Soup,19b,1,Seafood Soup (L),海鲜汤 (大）,9.95,0
Soup,20a,1,Shrimp Soup (S),虾汤 (小),5.95,0
Soup,20b,1,Shrimp Soup (L),虾汤 (大),9.50,0
Soup,21,1,Spicy Beef & Fish Soup,n/a,9.50,0
Soup,22,0,House Vegetable Soup,n/a,9.50,0
Chef's Spicy Noodle Soup (Soft Noodle),23,1,Chicken Noodle Soup,鸡汤面,10.25,0
Chef's Spicy Noodle Soup (Soft Noodle),24,1,Beef Noodle Soup,牛汤面,10.25,0
Chef's Spicy Noodle Soup (Soft Noodle),25,1,Shrimp Noodle,虾汤面,10.45,0
Chef's Spicy Noodle Soup (Soft Noodle),26,1,Beef & Shrimp Noodle Soup,n/a,10.45,0
Chef's Spicy Noodle Soup (Soft Noodle),27,1,Beef & Fish Noodle Soup,n/a,10.45,0
Chef's Spicy Noodle Soup (Soft Noodle),28,1,"Combination Noodle Soup (chicken, shrimp, beef)",n/a,10.75,0
Chef's Spicy Noodle Soup (Soft Noodle),29,1,Seafood Noodle Soup,海鲜汤面,11.00,0
Fried Rice,30,1,Vegetable Fried Rice (curry style),咖喱菜炒饭,9.75,0
Fried Rice,31,0,Chicken Fried Rice,鸡炒饭,9.95,0
Fried Rice,32,0,Beef Fried Rice,牛炒饭,9.95,0
Fried Rice,33,0,Shrimp Fried Rice,虾炒饭,10.25,0
Fried Rice,34,0,Roast Pork Fried Rice,肉炒饭,9.95,0
Fried Rice,35,0,"House Special Fried Rice (chicken, shrimp, roast pork)",n/a,10.75,0
Chow Mein,35a,0,Vegetable Chow Mein,菜炒面,10.50,0
Chow Mein,35b,0,Chicken Chow Mein,鸡炒面,11.50,0
Chow Mein,35c,0,Beef Chow Mein,牛炒面,12.50,0
Chow Mein,35d,0,Shrimp Chow Mein,虾炒面,12.50,0
Chow Mein,35e,0,Pork Chow Mein,肉炒面,11.50,0
Chow Mein,35f,0,"House Special Chow Mein (chicken, shrimp, roast pork)",n/a,12.50,0
Lo Mein (Soft Noodles),36,0,Vegetable Lo Mein,菜捞面,9.95,0
Lo Mein (Soft Noodles),37,0,Chicken Lo Mein,鸡捞面,10.25,0
Lo Mein (Soft Noodles),38,0,Beef Lo Mein,牛捞面,10.25,0
Lo Mein (Soft Noodles),39,0,Shrimp Lo Mein,虾捞面,10.50,0
Lo Mein (Soft Noodles),40,0,Fresh Pork Lo Mein,肉捞面,10.25,0
